Отметка времени,Город обучения.,#VALUE!,Курс,"Названия факультета / 
института",Название направления,Нагрузка в ВУЗе,"Качество получаемого образования 
в общем и целом","Оценка
преподавательского состава",Недостатки,"Уровень изучения 
английского языка","Качество получаемого образования
 по иностранным языкам","Уровень изучения
 программирования","Качество получаемого образования
 по программированию","Распределение
 по профилям",После какого курса и как происходит распределение,Студенческая жизнь,Общага,"Ссылка на студента
 Не стесняйся писать ему",
,,МГТУ им. Н.Э. Баумана,3,Машиностроительные технологии,11.03.04 Электроника и наноэлектроника,"В первом семестре тяжело, потому что ты приходишь со школы, где тебя тянули, в заведение, где ты сам должен себя мотивировать учиться, объем большой. Тяжело в 6 семестре, потому что у тебя идет и работа в лаборатория, и написание научно-исследовательской работы и практики по ней (обязательно для всех). В остальном все довольно просто, если начинать делать задания заранее.

В начале пар много, но уже со второго курса будет 1/2 дня выходных. Много задают по базовым предметам: начертательная геометрия, инженерная графика, различные разделы матана, физика, термех, теория машин и механизмов, сопромат. В остальном дз делаются быстро. 

Экзаменов поначалу много, (3-4, один из них ставится по результатам работы в семестре (если хочешь повысить оценку - пиши экзамен, все устраивает - отдыхай). Уже начиная с 4 семестра ставят много автоматов, а с 5 все кафедральные предметы идут в качестве распределенного экзамена по тому же принципу, что описан выше. Сейчас стандартно 1 нормальный экзамен в семестр. ",4,4," Убрали большие перерывы на обед, но большая часть преподавателей понимающая, поэтому не ругаются за опоздания.

Физкультура 3 года, обязательно для всех, нужно 25 посещений.","Все зависит от преподавателя, к которому попадешь, но реально жестких всего 1-2 на кафедру. В остальном все очень просто: учишь слова, тексты, презентации, рк катаешь с ГПТ. Английский длится 3 курса, оценка зависит от того, кто принимает и от характеристики на тебя твоего последнего преподавателя. В английском я ноль, за 13 лет изучения ничего не знаю, но получил на экзамене 5, потому что зачетка с отличными оценками и хорошая характеристика за посещаемость сыграли на меня. Даже самым тупым ставят 4, если постоянно ходите.

Есть возможность изучать китайский, французский, немецкий. Говорят, что там вообще все даром ставят.",2,"Учат программировать на Паскале, объясняя это такими словами: ""Мы не хотим научить вас писать код, мы хотим дать вам понимание работы алгоритмов"". Пишется все просто, разобраться не трудно, но 90% кафедры, которая ее ведет, просто гниды, поэтому впечатления от этого предмета смешанные. Могут попасть аспиранты, которым от тебя ничего не нужно, зачеты ставят за просто так, даже если не ходить.",1,Да,"После 5 семестра происходит распределение на лаборатории кафедры. Составляется рейтинг студентов по средним оценкам за весь период обучения, а дальше система, как в ЕГЭ: выбираешь приоритеты; слетаешь с первого - тебя кидают на второй и т.д.

Это лучшая возможность хорошо устроиться, поэтому советую до 5 семестра учиться как можно лучше. 90% преподов могут устроить работать на предприятия, с которыми они сотрудничают. Это быстрая возможность пройти стажировку (обычно полгода), а потом и устроиться на какую-то часть ставки. Для парней особенно круто, потому что на многих предприятиях есть бронь от армии.

Можно попасть на стажировку в НОЦ ФМНС, это связанная с бауманкой организация, находится в ее стенах. Новейшее оборудование, работа реально по специальности (причем направлений ОООЧЕНЬ много), но тут реально надо пахать, чтобы закрепиться. Деньги сюда вбухивают огромные, поэтому по-моему это наилучший вариант развития событий.

Если не хотите на предприятие или вам нужна только корочка и профессия вас не заинтересовала, то можно чисто номинально приходить раз в неделю/две на кафедру и делать, что там заставляют.","Есть много различных объединений, каждый найдет себе подходящее","Сначала жил в общежитии в Измайлово (4) два года, условия там не айс, но за плату около 20 тысяч за полгода это лучший вариант. Можно сделать небольшой ремонтик, потравить тараканчиков, и это будет рай на земле. Сам район очень хороший, рядом есть неплохой парк, есть места, где погулять. 2 кухни на этаж, туалет на блок (4-5 человек), душ общий на цокольном этаже. Есть боталка.

При условии, что ты проживаешь в общежитии 1 год можно подать в новое общежитие, отбор проводится по результатам сессии, научной работы, участии в активной и спортивной деятельности университета. Пройти в начале было довольно просто, потому что мест было много, сейчас чуть труднее, но реально. Сам сейчас живу в одном из новых общежитий (15). Туалет, кухня и душ на блок (от 3 до 5 человек), условия классные. ВУЗ, магазины, метро, парки близко. Из минусом здесь проблемы со связью и интернетом, а также часто ломающиеся и застревающие лифты. Студенческая столовая находится напротив в соседнем здании, коворкинг для жильцом работает 24/7 и занимает целый этаж, ночью там ботать очень вайбово. Цена примерно такая же (зависит от комнаты), что и в старых общежитиях. ",https://vk.com/id457873696,
4/21/2025 0:03:21,Москва / область,МГТУ им. Н.Э. Баумана,2,Машиностроительные технологии,11.03.04 Электроника и наноэлектроника,"На 1 курсе было пар 16 в неделю, сейчас примерно также, но многие ненужные предметы и лекции можно спокойно скипать. В первом семестре очень много чертили,это отбирало и время, и силы. Второй-третий семестр много задают по физике/термеху, а в 4 много сопромата и технологии конструкционных материалов. Стабильно идет 4 экзамена в семестр (один обычно распределительный, т.е. на какую оценку в семестре наработал, такую и ставят; не нравится и хочешь повысить - иди на экзамен). Зачетов от 5 до 7. Нагрузку можно спокойно переносить, если начинать разбираться заранее.",4,4,"- многие преподы не умеют читать материал
- все зависит от настроения препода
- мучают с физрой 6 семестров","Я в слабой группе по английскому, от нас почти ничего не требуют (опять же зависит от преподавателя). можно взять другой язык на изучение. 4/5.",4,"На моем факультете учат либо Паскаль, либо Бэйсик (по словам преподавателя: мы не хотим научить вас программировать, мы хотим дать вам понимание алгоритмов). Самый ужасный предмет за 4 семестра, потому что вся кафедра злыдень. 1/5.",1,Да,"После 5 семестра есть распределения по лабораториям кафедры, где ты пишешь НИРы и потом диплом. Распределение идет по баллам, выставляешь приоритеты, куда хочешь попасть, а потом чисто система подачи заявлений в ВУЗ: не прошел на 1 приоритет - идешь на 2 и т.д. Из минусов: если ты захочешь сменить научника,тебя загасят и могут отправить в академ (реальная история, произошедшая с отличником).","Есть много различных объединений, каждый найдет себе подходящее","Общаги приемлемые. По цене 13К за семестр, 4 из которых возвращаются в течение семестра со стипендией. Есть боталки, все приемлемо.",https://vk.com/id457873696,Физика
4/21/2025 0:07:17,Москва / область,МГТУ им. Н.Э. Баумана,2,Машиностроительные технологии,27.03.01 Стандартизация и метрология,"На втором курсе нагрузка стала адекватная. Два-три выходных в неделю, в среднем три пары. На первом курсе учиться было намного тяжелее, был один выходной. Объёмные дз по инжерной графике и начерту. В сессию где-то 3 три экзамена и 6 зачётов.",3,5,Абсолютно все обучение зависит от преподавателя. Преподаватель может ставить свои условия приёма дз и рубежом контролей и сам выбирать их сложность. ,"Помимо английского можно изучать французский, немецкий, испанский насчёт азиатских языков неуверена. Из 4 семестров 2 раза попадался очень хороший преподаватель, который был прям заинтересован в обучении английскому. Остальные 2 раза преподаватели требовали по минимуму. В целом программа построена интересно и самому изучить язык можно на хорошем уровне ",3,"В моей специальности программирование почти не нужно. Но обучали нам на паскале это никому не нужный язык при этом преподаватель был очень требовательный. Объяснения были не нуля и определённая база нужна была. Из-за того, что язык паскаль больше 3 поставить нельзя. Паскаль если что изучают на всем факультете МТ, не только на моей специальности ",3,Нет,,"Есть много различных объединений, каждый найдет себе подходящее","Живу в 4 общежитие. Рядом много спортивных площадок, лес, где скорее всего будет проходить ваша физра на первом курсе. До университета где-то 40 минут добираться. Есть одна ботаника, игровая комната, её можно бронировать  на определённое время. В прошлом году тараканов было не мало, в этом году их нет. На втором и далее курсах есть реальная возможность получить новое общежитие. ",@Hooannaa,Физика
"45078,91237",Москва / область,МГУ,1,Вмк ,01.03.02 Прикладная математика и информатика,"21 пара в неделю, нагрузка огромная
На сессии 2 семестра сдаем 5 предметов, на прошлой было 4
Основные предметы - линал, матан и прак, но нагрузка по ним очень сильно зависит от группы и потока",4,5,"-огромное количество материалов к экзамену, нужно знать наизусть учебник - все формулировки и доказательства 
- если учился в обычной школе очень тяжело, пары часто с 8:45 до 6 если у вас пятидневка( зато есть обеденный перерыв) 
-паскаль у 2/3 групп
-очень большие различия между потоками и группами, люди в разных группах могут иметь совсем различное мнение об учебе, но тут играет только удача
- на экзамене могут завалить, много пересдач, комиссией по зачетам
-гуманитарные предметы
-иногда попадаются не очень приятные лекторы/ семинаристы
-если поселят в гз, тут бывают проблемки
Но плюсов на самом деле очень много!! ","Полностью довольна, можно на 3 курсе взять дополнительные курсы технического переводчика
Но опять же все сильно различается между группами",4,"По семестрам: паскаль(или си), ассемблер (масм либо насм), си, си++",3,Да,"После 2 курса, по среднему баллу, рекомендациям 
Кафедр очень много ","Есть много различных объединений, каждый найдет себе подходящее","Я живу в гз, тк перепрописалась из Подмосковья, тут как повезет
Но все одногруппники живут в дсл, там нереально круто!!
Боталок и коворкингов очень много, можно найти на свой вкус подходящее место)",,
,,МГУ,2,ФКИ,01.03.03 Механика и математическое моделирование,каждый день по 4 пары. нагрузка на неделе распределена равномерно. при этом есть свободное время ,5,4,,средний уровень английского ,3,6,5,Да,1,"Есть много различных объединений, каждый найдет себе подходящее","дсв, есть коворкинги, условия хорошие ",,
6/5/2023 14:23:26,Москва / область,МГУ,1,Механико-математический,01.03.04 Прикладная математика,"на первом курсе 17-19 пар, из них пропустить спокойно можно дай бог 3-4, много важных, ну или лектор какой вообще не идет можно к нему не ходить и учиться по тичину
задают много по всем готовтесь жопу рвать но больше всего рвите из-за матана чтобы на зачёте на общепоточку не вылететь (про это позже расскажу)
экзаменов в первом семе 3 во втором 4, зачётов примерно в два раза больше, причём по одному предмету могут стоять и зачёт, и экзамен
а теперь самый сок
кафедра алгебры не пускает на экзамен без зачёта
на кафедре матана две первых попытки зачёта у семинариста, повезёт если лайт, все последующие - общепоток
максимум в общей сложности вам дадут пять попыток зачёта по матану, если повезёт, но можете вылететь, если не сдали четвёртую, тут тоже от некоторых факторов зависит (от настроения попела)
всё что нужно знать про общепоток по матану: на зачёт пришло 50 человек с зачётом ушло три
примерно четверть или треть курса отлетает в академы отчисляется перводится и т.п.
про академы
до последней попытки их тут дают даже за проблемы в учёбе это нонсенс конечно но если вы вдруг решите пойти сюда и будете чувствовать что не тянете можете попробовать взять подумать годик о жизни и вообще))0) но некоторые преподы плохо к академщикам относятся будьте готовы",5,4,"учебке на вас похуй
первые два курса вам голову забьют одной матешей если вы не только ради неё идёте а хотите ещё жизнь жить подумайте дважды","только английский, ничего необычного всё как и везде, учимся по собственной книжечке (на мехмате есть кафедра английского лол)",3,"прогаем на си и тут тоже как повезёт
в первом семе есть лекции на которых что-то расскажут можно сходить послушать но если всё знаете в принципе можете не ходить
если повезёт семер что-то додаст, если нет, будете приходить просто решать задачи сами как хотите и сдавать
две пары проги в неделю в принципе не очень много ",3,Да,после второго по конкурсу ,"Есть много различных объединений, каждый найдет себе подходящее","дсл лучшая общага на земле 
боталки есть коворков нет но крутые коворки в первом гуме и на экономфаке можно после пар ходить туда",,
"45078,74994",Москва / область,МГУ,1,ФИЗИЧЕСКИЙ ФАКУЛЬТЕТ ,03.03.02 Физика,"1) в зависимости от посещаемости можно самостоятельно регулировать число пар в неделю от 5 до 20+, но делать это надо крайне аккуратно.
2) самые загруженные предметы: физра (к сожалению, надо ходить), физика в зависимости от читаемого курса, математические дисциплины в зависимости от преподавателя
3) число зачётов - от терпимого числа вплоть до 11, число экзаменов - около 3-4",4,4,"1) курс теоретизирован (после фф на сварщика пойти не получится)
2) качество образования сильно зависит от преподавателя
3) слишком много лабораторных (от 1 до 1,5 в неделю)
4) парты не удобные по спать реально
5) наличие обязательных непрофильных предметов на младших курсах",зависит от преподавателя,3,"сложность задач зависит от преподавателя, никто специально не будет учить программированию, но возможность стать программистом будет (могут подсказать, направить, устроить на кафедру)",5,Да,в течение второго курса,"Есть много различных объединений, каждый найдет себе подходящее","одна из лучших общаг в России по однозначно лучшей цене (общага дсл), тип квартирный",https://vk.com/ilusha_iuda,
,,МГУ,4,Физический факультет,03.03.02 Физика,"На первых двух курсах в среднем 4 пары, на третьем и четвёртом курсе в среднем по 3-4 пары. Учебная неделя шестидневная. Начиная с 3 курса - военная подготовка для тех, кто на военной кафедре => это занимает один день в неделю => для тех, кто не на военной кафедре получается пятидневная учебная неделя. В магистратуре (сейчас перешли на специалитет, соответственно это 5 курс) все пары обычно распределяют на 3 учебных дня, остальные дни свободны. 
На первых курсах предметы напрямую связаны с физикой и математическим анализом. На третьем курсе включаются и обязательные общеобразовательные предметы.
Про дз: зависит от предмета, по некоторым предметам задают дз, по некоторым нет. Можно его делать, можно не делать. Но за хорошую работу в семестре могут автоматом поставить зачет. Также, есть практикумы (лабораторные работы), на первых двух курсах, по 12 задач в семестр - проводятся каждую неделю и их нельзя пропускать. Они очень интересные и помогают лучше понять физику
Про сессию: зачетов около 5-6 (или больше, я не особо помню), в основном за хорошую работу в семестре ставят зачет автоматом, так что проблем с ними быть не должно. Экзамены: около 4-5 в семестр. Билеты по ним есть, прописанные билеты и помощь от старших товарищей тоже есть. Если хорошо готовится, то ниже 4 не поставят (правда во всех университетах есть преподаватели, которые могут завалить, но их очень мало)",4,5,"Надо понимать, что тут именно фундаментальное образование. Инженерных предметов не будет. 
Уровень программирования не очень","В целом, это не тот английский, что в школе. Тут не будут учить его с нуля. В основном на парах занимаются переводом текстов с английского на русский, пересказ текста. В целом, преподаватели лояльны к уровню исходных знаний студента и в основном ставят оценки за старание и посещение пар
Других языков нет (для иностранцев русский). Но вообще в университете есть много групп по изучению языков, так что можно походить на них",3,"Учили на си, с++, было немного питона. Без базы будет сложновато (если вообще прям никогда не программировал ни на каких языках). Если хоть что-то было, то будет нормально. Идёт постепенное увеличение сложности заданий. Так чтобы научится программировать - этого нет, на это не делают упор. Можно получить только самую основу ",2,Да,"В конце второго курса студенты определяются на какую кафедру они пойдут дальше. Обычно студент ходит по кафедрам, ищет какая ему больше нравится, приходит туда, говорит с преподавателями, выбирает дальнейшую тему своей научной деятельности. Есть отбор студентов на кафедры: обычно по потерянным баллам (если на экзамене 4, а не 5 - то это один потерянный балл), по курсовым работам (их делают в конце второго курса на выбранной кафедре). Если ты пришёл на кафедру и показал своё желание там ""работать"", то тебя возьмут на эту кафедру","Есть много различных объединений, каждый найдет себе подходящее","Первые курсы живут в ДСЛ: там очень хорошие условия, новое общежитие, комната по два человека, кухня и ванна в комнате, пешая доступность к факультету. Начиная с 3-го курса живут в главном здании: 5 минут и ты на факультете. В комнате ванна, тоже неплохое общежитие. Есть боталки с бесплатным вай-фаем ",https://vk.com/id185139406,
,,МГУ,1,Физический факультет,03.05.02 Фундаментальная и прикладная физика,"около 18 пар в неделю, нагружают несильно, экзаменов 3-4 на первом курсе 
",4,4,,есть две группы: сильная и слабая. Профильный английский начинается со второго курса. Доп. языков нет.,4,"в первый год изучают C, C++, Python. Нужна определенная база",3,Да,после 2,"Есть много различных объединений, каждый найдет себе подходящее",,,
,,МГУ,2,Физический факультет,03.05.02 Фундаментальная и прикладная физика,"В среднем 24 пары в неделю
Задают больше всего по общей физике(в данном семестре по оптике), по математическим предметам(в данном семестре по дифф. уравнениям, интегральным уравнениям и вариационному исчислению) + много времени уходит на обработку физических практикумов(так называются лабы на физфаке)
В данном семестре 13 зачётов и 3 экзамена 
Обычно 4 экзамена и около 10 зачетов",4,4,"Сильное различие преподавания в зависимости от каждого преподавателя: может достаться «преподаватель от Бога», который будет доносить предмет так, что поймёт любой дурак, при этом рассказывая про реальный опыт применения данной темы, а может достаться не очень хороший препод, который будет валить тебя на зачете, при этом не донеся до тебя чего-то нового от слова «вообще».","Опять же зависит от препода. В данном семестре у нас была очень хорошая преподавательница, которая давала сильный уровень английского языка. Ее я могу оценить на 5/5. В прошлом семестре была плохая преподавательница, уровень 1/5.",3,В данном направлении все преподы достаточно хорошо подкованы. Уровень программирования достаточно высокий.,5,Да,После второго,"Есть много различных объединений, каждый найдет себе подходящее","Отличные условия в общежитии до 3 курса. На 3 курсе происходит переезд в общежитие с условиями намного хуже, чем были до этого.",vk.com/temmmo,
,,МГУ,1,физический факультет ,03.05.02 Фундаментальная и прикладная физика,"в первом семестре большая нагрузка 20+ пар 3 экзамена, во втором семестре 4 экзамена но пар меньше немного ",4,4,"отсутствие нормальной брс ваш уровень знаний зависит от преподавателей, тк одни могу вообще спать* в то время как другие готовы вам помочь разобраться с любым вопросом 
ну и специалитет(((","есть две подгруппы  английского в которые вас распределяют в самом начале, изучение достаточное интенсивное английский 5 лет ",4,"проги очень много прям оченнннь каждый семестр новый язык,  жескачь ",4,Да,после 2,"Есть много различных объединений, каждый найдет себе подходящее","дсл нереально крутая общага( полно видео на ютубе ),  гз конечно ужасная общагу ( в нее селят после 2 курса ",https://vk.com/leoonova,
6/1/2023 18:01:16,Москва / область,МГУ,1,Мехмат ,,Каждый день по 3-4 пары. По всем предметам задают дохуя (больше или меньше дохуя зависит от препода). 1 сессия - 5 зачётов и 3 экзамена; 2 сессия - 5 зачётов и 4 экзамена.,4,4,"Некоторые преподы слишком гордятся мехматом, поэтому очень высокомерно относятся к студентам. 

Так как по статистике меньше четверти студентов мехмата уходят в науку, то, как по мне, важно показывать, в каких сферах важно применение глубоких знаний математики. То есть немного сместить курс с ""науки"" на ""индустрию"". На данный момент этого нет и стажировки от вуза доступны только в школах/вузах (насколько я знаю). О практической пользе математики в индустрии говорят очень редко либо инициативные преподы, либо на отдельных конференциях с компаниями.

Ну и ужасный по отношению к студентам декан по учебным делам. Готов отчислить за все, усложнил структуру сдачи зачётов, не идёт на встречу студентам. ","Не знаю людей, которые улучшили знание английского, ходя на семинары английского.",1,"Уровень изучения программирования, как по мне, достаточно высок. Сначала учат си, потом переходят на си++, после уже начинают объяснять python. Если препод не хорошо объясняет материал, то придется разбираться самому, так как программа достаточно трудная. Но бывают и исключения.",3,Да,"После 2 курса есть на выбор несколько кафедр. Распределение происходит в зависимости от среднего балла по экзаменам. На некоторые ""особенные"" кафедры надо сдавать отдельный экзамен. 

Самая популярная кафедра среди студентов на данный момент (и самая трудная для поступления) - кафедра теории вероятностей. ","Есть много различных объединений, каждый найдет себе подходящее","Общежитие ДСЛ. Крутое, блочного типа, в каждой комнате 2-3 человека и туалет/душ. Есть боталки, спортзал, столовая, настольный теннис. Супертоп вообщем.",,
,,МГУ,2,Химический факультет,,"Около 4-5 пар в день. По всем предметам задают много, ко всему нужно готовиться. В сессию примерно 5 экзаменов, 7 зачётов + курсовая работа.",5,5,,Изучаю профильный английский язык. Дополнительно можно изучать другой иностранный язык. Качество преподавания на 5 баллов.,5,Программировать учат на питоне или С++. Уровень на 5 баллов,5,Да,После 4,"Есть много различных объединений, каждый найдет себе подходящее",,,
,,МГУ,1,Химический,,Нагрузка достаточная. В среднем 5-6 пар в день. Больше всего нагрузка по математике и химии. Экзаменов обычно 3-4. ,5,5,,Уровень изучения языка с уклоном в  химию.,4,"Программирование проходят быстро, программировали на питоне. Для лучшего понимания нужна база. ",4,Да,На 2 курсе распределение на 2 направления - с уклоном в физику или биологию.,"Есть много различных объединений, каждый найдет себе подходящее","Общежитие новое, условия отличные. Есть боталки.",https://vk.com/id672723588,
4/14/2025 15:29:20,Москва / область,МГУ,1,Химический факультет,04.05.01 Фундаментальная и прикладная химия,"За две недели (расписание четных и нечетных недель отличаются) 44 пары. Больше всего времени уходит на матанализ, химию, физику и работу в лабе (обязательные курсовые с 1 курса). Зачетов обычно около 10 штук, экзаменов в среднем 4",4,3,"организация изучения математических предметов (лекции и семинары по разным темам, получаются как разные предметы)","Есть профильный и базовый английский. Доп языки есть как внеучебная деятельность, в учебном процессе все учат английский",4,"нудны хотя бы школьные знания, изучаем питон. были времена когда изучали бэйсик и с++, очень зависит от года поступления,тк программу постоянно редактируют ",3,Да,"После 2: на два профиля, после 4: в лабораторию","Есть много различных объединений, каждый найдет себе подходящее",,"https://t.me/nika_grishina, есть тг канал, если не хотите лично писать",
4/14/2025 16:45:03,Москва / область,МГУ,1,Химический факультет,04.05.01 Фундаментальная и прикладная химия,"Ну нагрузка в МГУ не маленькая. В первом семестре была поменьше, сейчас во 2ом семестре 23 пары в неделю, + нужно ходить в лабу, писать курсовую. Но учеба довольно интересная, если действительно этого хотеть, то будут силы работать. Не могу выделить те предметы, на которых можно халявить, по-хорошему надо ботать все, объем работы зависит от преподавателя. Так основные предметы я бы выделила конечно химию (на первом курсе это неорганика), матан, физика, информатика (особенно тяжело тем, кто вообще не программировал в школе).",5,5,"Повышенная стипендия как правило ниже, чем других вузах (у нас она примерно 3800). Но базовая выше, чем в других (3к). Возможно это объясняется тем, что здесь очень дешёвая общага (примерно 130р в месяц).
Но с общагами тоже есть минус, а именно заселение туда. Здесь возникают проблемы с поселением людей из московской области, потому что не всем выдается общага (даже если добираться до универа 2ч). Поэтому лучше заранее позаботиться об этом вопросе (сменить прописку, чтобы это точно было за 5 тарифной зоной).","У нас было распределение на тех, у кого английский уровня выше B1, и у кого его в принципе в школе не было. Так что для всех все по силам распределено. В учебной программе обязательным является только английский, но есть много факультативных языковых клубов, куда можно спокойно ходить и изучать язык, который вам по душе.
Конечно, разговорному английскому тут вряд ли научат, но здесь закладывается база, чтобы читать научные статьи и литературу, поэтому обучение ставлю 5/5",5,"Программированию учат на python. Вообще курс рассчитан и для совсем новичков в программировании, но вообще без базы будет сложновато, потому что задачи дают иногда далеко не простые, где нужно раскинуть мозгами. Поэтому имеет смысл летом посидеть, поболтать азы программирования.",5,Да,"В конце 3 курса пишется заявление, вроде как на 4 идет профилизация (но точно не могу сказать, вроде это работает так).","Есть много различных объединений, каждый найдет себе подходящее","Сама в общаге не проживаю, но была там гостем и наслышана от проживающих там. Условия шикарные, общага дешевая, есть боталки, качалка, всякие клубы и все что нужно для счастливой жизни студента.",@Rizhikus,
